id,author_cn_name,author_en_name,author_org,backups
102773,徐悦,,财政金融学院,应用经济学
102774,李世银,,财政金融学院,应用经济学
102775,常佩瑶,,马克思主义学院,马克思主义理论
102776,孙太福,,环境学院,环境科学与工程
102777,万洁,,信息学院,计算机科学与技术
102778,赵云泽,"Zhao, Yunze",新闻学院,新闻传播学
102779,杨金亮,,财政金融学院,应用经济学
102780,何腾姣,,法学院,法学
102781,姜昭,,商学院,工商管理
102782,贾会才,"Jia, Huicai",数学学院,数学
102783,陈怡,,法学院,法学
102784,年猛,,经济学院,理论经济学
102785,宋晓恒,,经济学院,理论经济学
102786,杨联芬,"Lianfen, Yang",文学院,中国语言文学
102787,郑雪婧,,新闻学院,新闻传播学
102788,辛程,,经济学院,理论经济学
102789,许春荣,,马克思主义学院,马克思主义理论
102790,高林,,商学院,工商管理
102791,王微,,信息资源管理学院,信息资源管理
102792,杨峻岭,,哲学院,哲学
102793,祁乐,,统计学院,统计学
102794,钟卫,,财政金融学院,应用经济学
102795,胡小芳,,公共管理学院,公共管理
102796,孙曌闻,,新闻学院,新闻传播学
102797,胡长英,,数学学院,数学
102798,莫晓宇,,法学院,法学
102799,张彤华,,公共管理学院,公共管理
102800,李文华,,法学院,法学
102801,张磊,,数学学院,数学
102802,刘文勇,,应用经济学院,应用经济学
102803,武靖州,,经济学院,理论经济学
102804,娄林,,文学院,中国语言文学
102805,高一乘,,法学院,法学
102806,史文静,,新闻学院,新闻传播学
102807,迪力沙提·亚库甫,,公共管理学院,公共管理
102808,林伟,,社会与人口学院,社会学
102809,杨逐原,,新闻学院,新闻传播学
102810,赵国俊,"Guojun, Zhao;Zhao, Guojun",信息资源管理学院,信息资源管理
102811,郭洪林,"Guo, Honglin;Honglin, Guo",经济学院,理论经济学
102812,刘媛媛,,农业与农村发展学院,农林经济管理
102813,赵国俊,,公共管理学院,公共管理
102814,穆阿妮,,马克思主义学院,马克思主义理论
102815,王静,,马克思主义学院,马克思主义理论
102816,孙彤,,劳动人事学院,公共管理
102817,罗国杰,,哲学院,哲学
102818,雷雳,"Lei, Li",教育学院,教育学
102819,范旭,,信息学院,计算机科学与技术
102820,闫辰聿,,社会与人口学院,社会学
102821,姜朋,,财政金融学院,应用经济学
102822,曾祥敏,,新闻学院,新闻传播学
102823,周甄武,,哲学院,哲学
102824,王薇,,法学院,法学
102825,王博,,公共管理学院,公共管理
102826,吴晓求,,应用经济学院,应用经济学
102827,杜翘楚,,文学院,中国语言文学
102828,杨显滨,,法学院,法学
102829,张平,,经济学院,理论经济学
102830,叶敏,,法学院,法学
102831,范轶芳,,应用经济学院,应用经济学
102832,于雷,,法学院,法学
102833,马海燕,,新闻学院,新闻传播学
102834,徐莎,,环境学院,环境科学与工程
102835,刘劲杨,,哲学院,哲学
102836,刘丹,,商学院,工商管理
102837,张旭,,国际关系学院,政治学
102838,邵华,,历史学院,中国史
102839,吴若伊,,财政金融学院,应用经济学
102840,马强,,国家发展与战略研究院,应用经济学
102841,王玺,,财政金融学院,应用经济学
102842,宋婧,,新闻学院,新闻传播学
102843,乔旋,,国际关系学院,政治学
102844,苏越,,哲学院,哲学
102845,陈卫东,,财政金融学院,应用经济学
102846,孙皓,,法学院,法学
102847,易军,,哲学院,哲学
102848,谢邦昌,,统计学院,统计学
102849,冯仲平,,国际关系学院,政治学
102850,王建斌,,哲学院,哲学
102851,韩开山,,统计学院,统计学
102852,杨志勇,,财政金融学院,应用经济学
102853,穆卫宾,,哲学院,哲学
102854,王志刚,,国际学院,
102855,白雪,,商学院,工商管理
102856,任琼辉,,信息资源管理学院,信息资源管理
102857,王银屏,,社会与人口学院,社会学
102858,陈伟,,历史学院,中国史
102859,谈甜,"Tan, Tian;Tan, Tian",社会与人口学院,社会学
102860,蔡泽昊,,劳动人事学院,公共管理
102861,陈卫平,"Chen, Weiping",农业与农村发展学院,农林经济管理
102862,周濂,"Lian, Zhou",哲学院,哲学
102863,李璇,,统计学院,统计学
102864,焦红艳,"Jiao, Hongyan",信息资源管理学院,信息资源管理
102865,李明星,,商学院,工商管理
102866,郝大海,,社会与人口学院,社会学
102867,王芳,,马克思主义学院,马克思主义理论
102869,李志强,,哲学院,哲学
102870,钟维,"Wei, Zhong",法学院,法学
102871,向世陵,,国学院,中国语言文学
102872,张海峰,,应用经济学院,应用经济学
102873,杨鑫,,信息学院,计算机科学与技术
102874,王婧,,统计学院,统计学
102875,李双双,,经济学院,理论经济学
102876,周秀平,,社会与人口学院,社会学
102877,张林,"Zhang, Lin",商学院,工商管理
102878,黄文艺,,法学院,法学
102879,崔鹤,,外国语学院,外国语言文学
102880,吕昌会,,经济学院,理论经济学
102882,王磊,,文学院,中国语言文学
102883,李家莉,,历史学院,中国史
102884,谢远涛,"Yuantao, Xie",统计学院,统计学
102885,江俊伟,,马克思主义学院,马克思主义理论
102886,陆宽宽,,哲学院,哲学
102887,汪圣钧,,国际关系学院,政治学
102888,卜清平,,国家发展与战略研究院,应用经济学
102889,刘晓路,,财政金融学院,应用经济学
102890,王新清,,社会与人口学院,社会学
102891,汪鹏,,历史学院,中国史
102892,刘卿斐,,公共管理学院,公共管理
102893,刘晓梅,,商学院,工商管理
102894,洪玫,,应用经济学院,应用经济学
102895,覃福晓,,商学院,工商管理
102896,刘波,,经济学院,理论经济学
102897,黄隽,"Huang, Jun",经济学院,理论经济学
102898,王子今,,国学院,中国语言文学
102899,傅毅明,,环境学院,环境科学与工程
102900,于海渤,,社会与人口学院,社会学
102901,张涛,,农业与农村发展学院,农林经济管理
102902,于亢亢,,商学院,工商管理
102903,卢忠民,,历史学院,中国史
102904,刘同山,,农业与农村发展学院,农林经济管理
102905,高原,"Gao, Yuan;Gao, Yuan",农业与农村发展学院,农林经济管理
102906,戎军涛,,信息资源管理学院,信息资源管理
102907,黄海飞,,文学院,中国语言文学
102908,胡熠,"Hu, Yi",财政金融学院,应用经济学
102909,韩树峰,,信息资源管理学院,信息资源管理
102910,庄忠正,,马克思主义学院,马克思主义理论
102911,张世明,,历史学院,中国史
102912,杨巨,,经济学院,理论经济学
102914,白露,,应用经济学院,应用经济学
102915,王硕,,社会与人口学院,社会学
102916,李赫,,劳动人事学院,公共管理
102917,杨立雄,,社会与人口学院,社会学
102918,郭志辉,,商学院,工商管理
102919,刘阳,,马克思主义学院,马克思主义理论
102920,肖竹,,法学院,法学
102921,向彬,,艺术学院,艺术学理论
102922,蔡键,,农业与农村发展学院,农林经济管理
102923,邹一南,,经济学院,理论经济学
102924,李树旺,,体育部,体育学
102925,齐心,,应用经济学院,应用经济学
102926,陶婷婷,,商学院,工商管理
102927,胡文馨,,劳动人事学院,公共管理
102928,陈霞,,财政金融学院,应用经济学
102929,聂建峰,,公共管理学院,公共管理
102930,邵晖,,法学院,法学
102931,涂芝仪,,马克思主义学院,马克思主义理论
102932,吴建民,,统计学院,统计学
102933,沙莲香,,社会与人口学院,社会学
102934,张法,,文学院,中国语言文学
102935,马绍孟,,哲学院,哲学
102936,崔惠民,,经济学院,理论经济学
102937,王冲,,信息学院,计算机科学与技术
102939,刘帅,"Liu, Shuai",环境学院,环境科学与工程
102940,张耀军,"Zhang, Yaojun",社会与人口学院,社会学
102941,高志强,,文学院,中国语言文学
102942,梁东,,马克思主义学院,马克思主义理论
102943,刘平,,知识产权学院,法学
102944,陈超,,社会与人口学院,社会学
102945,张晗,,商学院,工商管理
102946,吕雪征,"Lv, Xue-zheng",数学学院,数学
102947,吴柳芬,,社会与人口学院,社会学
102948,于艾,,商学院,工商管理
102950,王晓笛,,经济学院,理论经济学
102951,张文铖,,国际关系学院,政治学
102952,张鑫,,国际关系学院,政治学
102953,刘月宁,,商学院,工商管理
102954,高宏宇,,财政金融学院,应用经济学
102955,陈怡,,信息资源管理学院,信息资源管理
102958,邱清,,外国语学院,外国语言文学
102959,张国斌,,财政金融学院,应用经济学
102960,刘超,,农业与农村发展学院,农林经济管理
102961,张冰,,文学院,中国语言文学
102962,张雨,,历史学院,中国史
102963,熊雪锋,"Xuefeng, Xiong;Xiong, Xuefeng",经济学院,理论经济学
102964,缪宇,,法学院,法学
102965,吴乐珺,,新闻学院,新闻传播学
102966,欧阳谦,,哲学院,哲学
102967,杨祥银,,历史学院,中国史
102968,张文妍,,经济学院,理论经济学
102969,肖久庆,,公共管理学院,公共管理
102970,夏明,,应用经济学院,应用经济学
102971,程晨,,新闻学院,新闻传播学
102972,杨亮,,统计学院,统计学
102973,冯景源,,哲学院,哲学
102974,孟祥慧,,经济学院,理论经济学
102975,史梅,,社会与人口学院,社会学
102976,张新广,,法学院,法学
102977,张明倩,,财政金融学院,应用经济学
102978,陆义敏,,劳动人事学院,公共管理
102979,肖平,,经济学院,理论经济学
102980,林溪声,,新闻学院,新闻传播学
102981,高燕翔,,商学院,工商管理
102982,郭妍妍,"Guo, Yanyan",环境学院,环境科学与工程
102983,唐忠,"Tang, Zhong",农业与农村发展学院,农林经济管理
102984,李璠,,国际关系学院,政治学
102985,韩文静,"Han, Wenjing",公共管理学院,公共管理
102986,张俊,,公共管理学院,公共管理
102987,缪慧星,,财政金融学院,应用经济学
102988,王艳,,心理学系,心理学
102989,赵丹,,网络教育学院,
102990,田敏,,农业与农村发展学院,农林经济管理
102991,赵西卜,,商学院,工商管理
102992,刘尔铎,,劳动人事学院,公共管理
102993,郑爱青,,法学院,法学
102994,马保玉,,哲学院,哲学
102995,赵洋,,马克思主义学院,马克思主义理论
102996,徐芳,,劳动人事学院,公共管理
102997,段俊杰,,法学院,法学
102998,陈政,"Chen, Zheng",信息学院,计算机科学与技术
102999,宋丕丞,,商学院,工商管理
103000,孔令征,,应用经济学院,应用经济学
