author_min,author_max,zw_cooper_num,scopus_cooper_num,total_cooper_num,interdiscipline
94661,103507,0,1,1,0
93038,95266,1,0,1,1
91417,95866,1,0,1,0
91417,95865,1,0,1,0
89167,105395,2,0,2,0
90098,90872,1,0,1,0
113119,113194,0,13,13,0
96776,96778,1,0,1,0
96776,96777,1,0,1,0
91938,91939,1,1,2,0
99505,115415,0,2,2,0
99354,104309,1,0,1,0
89131,103793,1,0,1,0
102204,105807,0,2,2,0
96776,96779,1,0,1,0
114980,115096,0,1,1,1
107891,115971,0,1,1,0
98117,100492,1,0,1,0
105705,106968,1,0,1,0
91496,105582,1,0,1,0
96710,106432,0,1,1,1
96824,96825,1,0,1,0
111035,111152,1,0,1,0
109593,109926,0,2,2,0
115866,116131,0,1,1,0
91708,100502,2,0,2,0
103400,105920,4,0,4,0
114785,115909,0,5,5,0
98284,104833,1,0,1,0
103119,110024,1,0,1,0
112556,113366,0,2,2,0
99377,106877,1,0,1,0
93731,93732,1,0,1,0
98845,108195,2,0,2,0
104326,115655,0,1,1,0
89832,105179,1,0,1,0
105647,115020,0,1,1,0
100005,104326,1,0,1,0
100513,112597,0,1,1,0
98266,100705,2,0,2,0
102515,107866,2,0,2,0
94528,102561,1,0,1,1
100513,112592,0,3,3,0
91863,107883,1,0,1,0
99905,101195,1,0,1,0
91902,108373,1,0,1,0
92749,92750,2,1,3,0
91615,100114,1,0,1,0
113749,114366,0,7,7,0
89769,99606,1,0,1,0
95548,112904,0,2,2,0
92032,92206,2,11,13,0
100339,108889,5,0,5,0
109573,114184,0,1,1,1
93521,113046,0,1,1,0
113089,114509,0,1,1,0
104326,115640,0,1,1,0
100197,109198,1,0,1,0
111662,115198,0,1,1,0
100432,108178,1,0,1,0
101356,107408,1,17,18,0
113835,115262,0,1,1,0
105419,105632,2,0,2,0
97032,106582,1,0,1,0
96496,108930,0,1,1,0
93815,108974,1,0,1,0
97965,101879,1,0,1,0
105423,110284,1,0,1,0
115108,116136,0,2,2,0
99677,99789,1,0,1,0
113277,115020,0,2,2,0
96586,98991,0,2,2,0
94782,103797,1,0,1,0
102680,108560,3,1,4,0
91538,115619,0,1,1,0
113194,113234,0,1,1,0
104174,108468,1,0,1,0
92429,102235,1,0,1,0
113703,114566,0,1,1,0
99006,100449,1,5,6,0
93050,112785,0,1,1,0
103932,104141,1,0,1,0
101409,108335,3,2,5,0
98773,100858,3,0,3,0
91571,115644,0,1,1,0
93529,105208,1,0,1,0
99081,100513,0,7,7,1
92748,92749,2,1,3,0
107566,108512,1,1,2,0
103171,112824,0,2,2,0
113182,116217,0,1,1,0
95056,107525,0,2,2,0
105056,107199,1,0,1,0
99917,99937,1,0,1,0
102924,107830,1,0,1,0
107575,113978,0,1,1,0
99873,103830,1,0,1,0
90238,100252,2,0,2,0
93004,107810,1,0,1,0
86965,92898,1,0,1,1
92551,102728,1,0,1,0
101911,111267,1,0,1,0
93163,103672,1,0,1,1
115820,116333,0,1,1,0
98681,105142,1,0,1,0
101035,109487,0,1,1,0
104152,104639,3,0,3,0
112742,115876,0,1,1,0
113573,114598,0,2,2,0
100588,105042,1,0,1,0
94658,114230,0,4,4,0
103411,108867,1,0,1,0
106968,107866,1,0,1,0
113333,115375,0,1,1,0
92031,92206,0,5,5,0
100754,104677,4,0,4,0
107891,115906,0,3,3,0
99682,115364,0,2,2,0
105716,109898,2,5,7,0
97789,108941,1,0,1,0
92748,92750,2,3,5,0
111640,111641,1,0,1,0
107479,114886,0,6,6,0
114519,115123,0,1,1,0
105249,106544,1,0,1,1
98160,107008,1,0,1,0
101454,107516,2,0,2,0
94262,111576,0,1,1,0
96356,108285,0,1,1,0
90134,92549,0,1,1,0
113822,113945,0,1,1,0
94599,94600,1,16,17,0
113090,114796,0,1,1,0
90746,105014,1,0,1,0
95046,112952,0,9,9,0
93149,98103,1,0,1,1
92778,102211,1,1,2,0
99505,115473,0,1,1,0
97778,105664,1,0,1,0
92835,92836,1,0,1,0
101454,107520,4,0,4,0
106879,109538,1,0,1,0
89270,105658,1,0,1,0
112979,113513,0,2,2,0
100858,105705,1,0,1,0
101241,103473,1,0,1,0
109712,116214,0,1,1,0
95464,114733,0,2,2,0
103087,109391,5,1,6,0
108070,108894,2,4,6,0
98228,102599,1,0,1,0
91914,99704,4,0,4,0
99487,101359,1,0,1,0
89736,108418,1,0,1,0
104401,113260,0,1,1,0
91412,91413,1,0,1,0
92162,105713,0,1,1,0
105827,109046,3,0,3,0
102983,104655,3,0,3,0
94658,114224,0,1,1,0
98806,107851,1,0,1,0
102396,108283,1,0,1,0
109370,109863,1,0,1,1
92075,98802,1,0,1,0
107014,114371,0,1,1,0
101782,108916,3,0,3,0
98706,106277,1,0,1,0
101219,106783,1,0,1,0
106397,113166,0,1,1,0
92248,114484,0,1,1,0
90918,91934,1,0,1,0
92672,98757,1,0,1,0
98255,108418,1,0,1,0
108730,108939,2,0,2,0
108290,109145,1,0,1,0
113840,115269,0,1,1,0
94858,102387,0,1,1,0
92933,110970,0,1,1,0
104401,115866,0,2,2,0
91450,91451,1,0,1,0
92086,114996,0,1,1,0
98232,108573,1,0,1,0
115269,115685,0,1,1,0
98860,108962,2,0,2,0
102200,103713,3,0,3,0
98628,102830,2,0,2,0
92137,92138,1,0,1,0
99621,107616,1,0,1,0
92607,92609,1,1,2,0
92970,109213,4,0,4,1
92607,92608,1,1,2,0
104401,115864,0,2,2,0
89427,94375,1,0,1,0
94237,105663,1,0,1,0
89427,94374,1,0,1,0
89427,94373,1,0,1,0
89427,94372,1,0,1,0
93281,106775,1,0,1,0
98200,104280,1,0,1,0
93699,104191,1,0,1,0
89551,104254,1,0,1,0
94395,107558,0,3,3,1
93340,113297,0,1,1,0
92933,107301,0,1,1,0
95150,115371,0,1,1,0
92801,104052,0,1,1,1
90183,110008,1,0,1,0
114138,115203,0,3,3,0
110088,110089,13,11,24,0
90936,109694,1,0,1,0
104401,113228,0,5,5,0
92351,94395,0,1,1,1
112126,112389,1,0,1,0
94994,100926,1,0,1,0
99608,101923,1,0,1,0
104375,104965,1,0,1,0
92755,102339,1,0,1,0
114707,116091,0,4,4,0
101077,109701,1,0,1,0
91961,105401,1,0,1,0
92212,112838,0,2,2,0
100682,115110,0,1,1,0
112495,115073,0,1,1,0
95512,98757,1,0,1,0
98807,101572,1,0,1,0
104817,112503,0,1,1,0
96465,100996,1,0,1,0
98442,104752,1,0,1,0
114236,115788,0,2,2,0
89842,115741,0,1,1,0
89379,104735,3,0,3,0
103087,109344,2,0,2,0
100528,103076,1,0,1,0
97895,103976,1,0,1,0
94216,106820,1,0,1,0
101499,114645,0,1,1,0
98876,105129,1,0,1,0
104401,113234,0,1,1,0
101499,114640,0,1,1,0
99434,112811,0,1,1,0
98780,99876,2,0,2,0
96189,106544,1,0,1,0
101503,104077,2,4,6,0
97063,115817,0,2,2,1
104641,109338,1,0,1,0
102361,110141,0,3,3,0
112689,112912,0,1,1,0
93159,106051,1,0,1,0
97361,101968,1,0,1,0
97373,109515,1,0,1,0
93933,109385,2,0,2,0
94161,94162,1,0,1,1
94161,94163,1,0,1,1
92977,106027,0,1,1,0
97340,97341,2,0,2,0
93954,99435,1,0,1,0
112786,114544,0,1,1,0
95341,101219,1,0,1,0
110088,112694,0,1,1,0
105816,106279,1,0,1,0
112674,116379,0,2,2,0
92977,108685,0,1,1,1
94161,94164,1,0,1,1
107650,108290,1,0,1,0
99778,109515,1,0,1,0
102523,102703,1,0,1,0
98991,104960,1,0,1,0
89834,108894,1,0,1,0
112507,114923,0,1,1,0
102787,106630,1,0,1,0
92150,108724,1,0,1,0
102681,104936,1,0,1,0
98991,102301,0,4,4,0
106080,109515,1,0,1,0
103879,113700,0,3,3,1
102730,113092,0,1,1,0
92399,103416,2,0,2,0
89102,89427,1,0,1,0
90924,94970,1,0,1,0
91417,115584,0,1,1,0
94924,112790,0,1,1,0
90493,106637,1,0,1,0
98221,103120,1,0,1,0
98889,99201,1,0,1,0
91114,107014,0,4,4,1
101212,107149,1,0,1,0
98694,99789,1,0,1,0
106782,107372,1,0,1,0
93589,99311,1,0,1,0
90554,92783,1,0,1,0
95819,101013,1,0,1,0
104003,104586,1,2,3,0
92086,92563,0,6,6,0
89405,101357,2,0,2,0
90894,109090,2,1,3,0
95654,98926,1,0,1,0
112737,115682,0,1,1,0
101393,109269,1,0,1,1
113940,114276,0,7,7,0
92089,92091,1,0,1,0
108127,110480,1,0,1,0
98155,109923,1,1,2,0
92089,92090,2,0,2,0
93669,94295,0,1,1,0
94658,114185,0,1,1,0
